2.22.233.255,London,United Kingdom
8.8.8.8,Mountain View,United States
1.1.1.1,Sydney,Australia
3.3.3.3,Seattle,United States
9.9.9.9,San Jose,United States
23.45.67.89,New York,United States
34.56.78.90,Los Angeles,United States
52.23.45.67,London,United Kingdom
54.67.89.12,Dublin,Ireland
62.75.88.99,Berlin,Germany
77.88.99.100,Paris,France
80.81.82.83,Madrid,Spain
91.92.93.94,Rome,Italy
101.102.103.104,Tokyo,Japan
111.112.113.114,Seoul,South Korea
121.122.123.124,Beijing,China
131.132.133.134,Sydney,Australia
141.142.143.144,Melbourne,Australia
151.152.153.154,Toronto,Canada
161.162.163.164,Vancouver,Canada
171.172.173.174,Ṣo Paulo,Brazil
181.182.183.184,Buenos Aires,Argentina
191.192.193.194,Cape Town,South Africa